id,title,description,availability,condition,price,link,image_link,brand,google_product_category,product_type,custom_label_0,custom_label_1
11,Adrenalyn XL Mundial 2026 - Pack x12 sobres,🥇 OFICIAL PANINI — Cromos oficiales Adrenalyn XL del Mundial FIFA 2026. 12 sobres · Edición coleccionista Panini.,in stock,new,41999.00 ARS,https://mundialpaniniarg.shop/#/product/11,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Cromos Adrenalyn XL,cromos,catalogo
12,Álbum Tapa Blanda + 25 sobres de figuritas,🔥 OFERTA — Combo ideal para arrancar fuerte: álbum tapa blanda oficial + 175 figuritas (25 sobres × 7 figus).,in stock,new,64999.00 ARS,https://mundialpaniniarg.shop/#/product/12,https://mundialpaniniarg.shop/catalogo/album_sobres_7_5.webp,Campeón Figus,Toys & Games > Collectible Toys,Combos Álbum + Sobres,combos,destacado
13,Álbum Tapa Blanda + 50 sobres de figuritas,⭐ SUPER COMBO — Álbum tapa blanda + 350 figuritas. La forma más económica de llenar tu colección del Mundial 2026.,in stock,new,124999.00 ARS,https://mundialpaniniarg.shop/#/product/13,https://mundialpaniniarg.shop/catalogo/album_sobres_7_5.webp,Campeón Figus,Toys & Games > Collectible Toys,Combos Álbum + Sobres,combos,destacado
14,Álbum Tapa Dura + 25 sobres de figuritas,💎 PREMIUM — Álbum tapa dura premium + 175 figuritas. Para quienes quieren calidad coleccionista desde el inicio.,in stock,new,89999.00 ARS,https://mundialpaniniarg.shop/#/product/14,https://mundialpaniniarg.shop/catalogo/album_tapa_dura-sobres.webp,Campeón Figus,Toys & Games > Collectible Toys,Combos Álbum + Sobres,combos,catalogo
15,Álbum Tapa Dura + 15 sobres de figuritas,🆕 NUEVO — Nuevo combo tapa dura + 105 figuritas. Perfecto equilibrio entre precio y cantidad de figus.,in stock,new,74999.00 ARS,https://mundialpaniniarg.shop/#/product/15,https://mundialpaniniarg.shop/catalogo/album_tapa_dura-sobres.webp,Campeón Figus,Toys & Games > Collectible Toys,Combos Álbum + Sobres,combos,catalogo
16,Pack x5 sobres de figuritas (35 figus),👋 PARA PROBAR — 5 sobres sellados de fábrica. 35 figuritas oficiales para empezar sin gastar de más.,in stock,new,9999.00 ARS,https://mundialpaniniarg.shop/#/product/16,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
17,Pack x75 sobres de figuritas (525 figus),⚡ OFERTA — 75 sobres cerrados. 525 figuritas para avanzar a fondo en el álbum del Mundial FIFA 2026.,in stock,new,119999.00 ARS,https://mundialpaniniarg.shop/#/product/17,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
18,Pack x100 sobres de figuritas (700 figus),🏆 MEGA PACK — El pack más grande: 100 sobres y 700 figuritas. Para completar el álbum de una vez.,in stock,new,154999.00 ARS,https://mundialpaniniarg.shop/#/product/18,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,destacado
19,Combo Familiar: 2 Álbumes Tapa Blanda + 20 sobres,👨‍👩‍👧‍👦 FAMILIA — 2 álbumes tapa blanda + 20 sobres (140 figuritas). Ideal para coleccionar en familia o con amigos.,in stock,new,99999.00 ARS,https://mundialpaniniarg.shop/#/product/19,https://mundialpaniniarg.shop/catalogo/album_83_3.webp,Campeón Figus,Toys & Games > Collectible Toys,Combos Álbum + Sobres,combos,catalogo
20,Álbum Dorado + 25 sobres de figuritas,✨ EDICIÓN ORO — Álbum edición dorada coleccionista + 175 figuritas. Edición limitada con tapa exclusiva.,in stock,new,94999.00 ARS,https://mundialpaniniarg.shop/#/product/20,https://mundialpaniniarg.shop/catalogo/album_dorado-sobres.webp,Campeón Figus,Toys & Games > Collectible Toys,Combos Álbum + Sobres,combos,catalogo
21,Adrenalyn XL Mundial 2026 - Pack x6 sobres,🆕 NUEVO — Cromos Adrenalyn XL oficiales del Mundial 2026. Pack de 6 sobres para arrancar tu colección de cartas.,in stock,new,22999.00 ARS,https://mundialpaniniarg.shop/#/product/21,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Cromos Adrenalyn XL,cromos,catalogo
22,Adrenalyn XL Mundial 2026 - Pack x24 sobres,🃏 COLECCIONISTA — 24 sobres de cromos Adrenalyn XL del Mundial FIFA 2026. Buscá las cartas especiales y leyendas.,in stock,new,78999.00 ARS,https://mundialpaniniarg.shop/#/product/22,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Cromos Adrenalyn XL,cromos,catalogo
23,Pack Lanzamiento: Álbum Tapa Blanda + 15 sobres,🚀 LANZAMIENTO — Oferta de lanzamiento: álbum tapa blanda + 105 figuritas (15 sobres). Precio promocional por tiempo limitado.,in stock,new,44999.00 ARS,https://mundialpaniniarg.shop/#/product/23,https://mundialpaniniarg.shop/catalogo/album_sobres_7_5.webp,Campeón Figus,Toys & Games > Collectible Toys,Combos Álbum + Sobres,combos,destacado
24,Sobre suelto de figuritas (7 figus),📦 SOBRE — 1 sobre sellado oficial PANINI del Mundial FIFA 2026. 7 figuritas por sobre. Ideal para regalar o probar suerte.,in stock,new,2499.00 ARS,https://mundialpaniniarg.shop/#/product/24,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
25,Pack x2 sobres de figuritas (14 figus),📦 PACK — 2 sobres cerrados de fábrica. 14 figuritas oficiales del Mundial 2026 para arrancar tu colección.,in stock,new,4499.00 ARS,https://mundialpaniniarg.shop/#/product/25,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
26,Pack x3 sobres de figuritas (21 figus),📦 PACK — 3 sobres sellados. 21 figuritas oficiales PANINI. El pack más chico para regalar.,in stock,new,6499.00 ARS,https://mundialpaniniarg.shop/#/product/26,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
27,Pack x7 sobres de figuritas (49 figus),⚽ CLÁSICO — 7 sobres oficiales. 49 figuritas del Mundial FIFA 2026. El pack tradicional de una semana de colección.,in stock,new,12999.00 ARS,https://mundialpaniniarg.shop/#/product/27,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
28,Pack x15 sobres de figuritas (105 figus),⚡ OFERTA — 15 sobres cerrados. 105 figuritas para avanzar rápido sin comprar un combo con álbum.,in stock,new,27999.00 ARS,https://mundialpaniniarg.shop/#/product/28,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
29,Pack x20 sobres de figuritas (140 figus),📦 PACK — 20 sobres sellados de fábrica. 140 figuritas oficiales. Buen balance precio/cantidad.,in stock,new,36999.00 ARS,https://mundialpaniniarg.shop/#/product/29,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
30,Pack x30 sobres de figuritas (210 figus),🔥 OFERTA — 30 sobres cerrados. 210 figuritas del Mundial 2026. Para coleccionistas que ya tienen álbum.,in stock,new,52999.00 ARS,https://mundialpaniniarg.shop/#/product/30,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
31,Pack x40 sobres de figuritas (280 figus),📦 PACK — 40 sobres oficiales PANINI. 280 figuritas para completar secciones enteras del álbum.,in stock,new,68999.00 ARS,https://mundialpaniniarg.shop/#/product/31,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
32,Caja display x20 sobres (140 figus),"📦 CAJA — Caja exhibidor oficial con 20 sobres sellados. 140 figuritas. Ideal para kioscos, regalos o armar tu propio pack.",in stock,new,34999.00 ARS,https://mundialpaniniarg.shop/#/product/32,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
33,Caja sellada x30 sobres (210 figus),📦 CAJA — Caja cerrada de fábrica con 30 sobres. 210 figuritas sin abrir. Conservá la caja como coleccionista.,in stock,new,49999.00 ARS,https://mundialpaniniarg.shop/#/product/33,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
34,Caja mayorista x50 sobres (350 figus),🏪 MAYORISTA — Caja con 50 sobres en formato mayorista. 350 figuritas. Mejor precio por sobre en presentación caja.,in stock,new,79999.00 ARS,https://mundialpaniniarg.shop/#/product/34,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,destacado
35,Caja coleccionista x60 sobres (420 figus),📦 CAJA — Caja premium con 60 sobres sellados. 420 figuritas del Mundial FIFA 2026 Panini.,in stock,new,94999.00 ARS,https://mundialpaniniarg.shop/#/product/35,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
36,Cajón x120 sobres (840 figus),🏆 CAJÓN — Cajón completo con 120 sobres oficiales. 840 figuritas. Para revendedores y coleccionistas avanzados.,in stock,new,179999.00 ARS,https://mundialpaniniarg.shop/#/product/36,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,destacado
37,Pack Regalo x10 sobres (70 figus),🎁 REGALO — Pack regalo con 10 sobres sellados. 70 figuritas oficiales. Presentación ideal para cumpleaños o fiestas.,in stock,new,17999.00 ARS,https://mundialpaniniarg.shop/#/product/37,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
38,Pack Finde x8 sobres (56 figus),⚡ OFERTA — 8 sobres para el finde largo. 56 figuritas oficiales. Oferta especial de fin de semana.,in stock,new,14999.00 ARS,https://mundialpaniniarg.shop/#/product/38,https://mundialpaniniarg.shop/catalogo/sobres_11_4.webp,Campeón Figus,Toys & Games > Collectible Toys,Sobres y Packs de Figuritas,figuritas,catalogo
39,Box Maleta Premium FIFA World Cup 2026,💼 MALETA PREMIUM — Edición coleccionista oficial PANINI. Incluye álbum tapa dura del Mundial 2026 + 30 sobres (210 figuritas) en maleta rígida premium de exhibición. Ideal para regalo o guardar tu colección.,in stock,new,99999.00 ARS,https://mundialpaniniarg.shop/#/product/39,https://mundialpaniniarg.shop/catalogo/album_tapa_dura-sobres.webp,Campeón Figus,Toys & Games > Collectible Toys,Combos Álbum + Sobres,combos,destacado
